ydate,cp,upprob1,upprob2,pctg,ydatestr
735818,191.03,0.496173688385269,0.551926260368519,-0.989945060640612,2014-08-07
735819,193.24,0.557532474054034,0.561478590530441,0.929698109265644,2014-08-08
735822,193.8,0.495637170874151,0.544517492694408,-0.087642418930756,2014-08-11
735823,193.53,0.539815191362858,0.525212583713182,-0.0413201797427883,2014-08-12
735824,194.84,0.495344488434817,0.553441136144951,0.283081990838443,2014-08-13
735825,195.76,0.505710780567461,0.549071429694874,0.307440049190405,2014-08-14
735826,195.72,0.495893294757054,0.533792471917282,-0.381737669873263,2014-08-15
735829,197.36,0.507757221847376,0.554197126399587,0.284552845528456,2014-08-18
735830,198.39,0.499692536130627,0.548422327553697,0.278002426202984,2014-08-19
735831,198.92,0.497341693227061,0.516463629160617,0.403795679386222,2014-08-20
735832,199.5,0.473501326646607,0.54736855083696,0.205937013411018,2014-08-21
735833,199.19,0.487447724004392,0.546779932511945,-0.0752483194542017,2014-08-22
735836,200.2,0.48407206071821,0.556426096168552,0.0299790146897183,2014-08-25
735837,200.33,0.502359886490654,0.555879510702968,0,2014-08-26
735838,200.25,0.501541102347457,0.540297883788968,-0.0898069151324686,2014-08-27
735839,200.14,0.504193488728869,0.538035748698485,0.275564908061518,2014-08-28
735840,200.71,0.489298832215121,0.540728948742201,0.129708156647553,2014-08-29
735844,200.61,0.50481890140938,0.552930286213576,-0.179131213613965,2014-09-02
735845,200.5,0.512409152693322,0.571911841297778,-0.436984804846556,2014-09-03
735846,200.21,0.523009315851299,0.590658188096529,-0.313682533359886,2014-09-04
735847,201.11,0.520186776077835,0.58106990797108,0.469600839286619,2014-09-05
735850,200.59,0.499751725976645,0.553694387621914,-0.164244475413092,2014-09-08
735851,199.32,0.515345419813004,0.549270109710598,-0.543885035676864,2014-09-09
735852,200.07,0.516701584364511,0.573843534094512,0.320914606628885,2014-09-10
735853,200.3,0.512718771799718,0.542206356695156,0.516886636222212,2014-09-11
735854,199.13,0.502061898665721,0.514425386323679,-0.484757621189405,2014-09-12
735857,198.98,0.52096805820592,0.551655900303315,-0.0903795942960468,2014-09-15
735858,200.48,0.518238679652542,0.544173850452984,0.941543728915954,2014-09-16
735859,200.75,0.49149824936541,0.514921466203665,-0.00996164765652748,2014-09-17
735860,201.82,0.518830146359031,0.537570682141734,0.22844656336908,2014-09-18
735861,200.7,0.511547891977805,0.537608218319709,-0.406907502977383,2014-09-19
735864,199.15,0.515843317673589,0.528215228222382,-0.598951834289987,2014-09-22
735865,198.01,0.514703317810642,0.545209649111303,-0.211661543113449,2014-09-23
735866,199.56,0.514315028031474,0.530186061992383,0.767521712785301,2014-09-24
735867,196.34,0.512483200452001,0.513569944509617,-1.35651125401929,2014-09-25
735868,197.9,0.554651453654485,0.542428596684062,0.610066090493145,2014-09-26
735871,NaN,0.506602749978422,0.539894569355784,NaN,2014-09-29
