ydatestr,ydate,openp,cp,n1dg1,n1dg2,n2dg1,corrn05,corrn06,corrn07,corrn08,corrn09,n1dg,yval,upprob
1981-08-19,723777,130.11,130.49,0.00292060564138034,-0.00845907636031082,-0.00556317634506927,0.338338526630482,0.420372517796642,0.560812487701633,0.335328278587716,0.308581245859754,0.00153268449689623,2,0.528178136973693
1981-08-20,723778,130.49,130.69,0.00153268449689623,0.00292060564138034,0.00445776650526465,-0.219445547483875,-0.0328728702570322,0.0516450208046407,0.367071314143088,0.229267930075324,-0.0111714744815977,1,0.540588980113238
1981-08-21,723779,130.69,129.23,-0.0111714744815977,0.00153268449689623,-0.00965591233044692,0.499287954237882,0.249873215150093,0.261290559127621,0.176051271632526,0.395287453870554,-0.0288632670432561,1,0.532194249722268
1981-08-24,723782,128.59,125.5,-0.0288632670432561,-0.0111714744815977,-0.0397122962736246,-0.0565882915018468,0.0745097425372801,0.00266864189334528,0.00356520146620891,0.0533782968922096,-0.00294820717131478,1,0.412766579191703
1981-08-25,723783,125.5,125.13,-0.00294820717131478,-0.0288632670432561,-0.0317263793236864,0.480389530606104,0.436357883232804,0.433981623065921,0.417164783108598,0.416795872710165,-0.00135858706944779,1,0.457628589877074
1981-08-26,723784,125.13,124.96,-0.00135858706944779,-0.00294820717131478,-0.00430278884462156,0.0441354829199504,0.0462459190509598,0.0469438413686408,0.0438839971148393,0.0466403040166304,-0.0116037131882201,1,0.51223573161054
1981-08-27,723785,124.96,123.51,-0.0116037131882201,-0.00135858706944779,-0.0129465356029728,-0.128295459293005,0.107625899530933,0.0886328912290446,0.0921776110999025,0.0902912801884279,0.00461501093028899,2,0.476406696362683
1981-08-28,723786,123.51,124.08,0.00461501093028899,-0.0116037131882201,-0.00704225352112672,-0.144707425299611,-0.128141214618398,0.0800620709866268,0.0472670743535735,0.0505708046203867,-0.0103965183752417,1,0.472028172918587
1981-08-31,723789,124.08,122.79,-0.0103965183752417,0.00461501093028899,-0.00582948749089142,-0.296458036765434,-0.132983242487251,-0.168113528669164,-0.00689705685906879,-0.0186974720346012,0.00187311670331452,2,0.489951514665787
1981-09-01,723790,122.79,123.02,0.00187311670331452,-0.0103965183752417,-0.00854287556415218,-0.870114076180748,-0.488906408401975,-0.156151809846387,-0.178940971704019,-0.048252986843117,0.00382051698910745,2,0.432253491081757
1981-09-02,723791,123.02,123.49,0.00382051698910745,0.00187311670331452,0.00570078996660957,-0.925965617114518,-0.890801562192585,-0.481034986438291,-0.168661032172848,-0.205308738918122,-0.0182200987934246,1,0.468015291745058
1981-09-03,723792,123.49,121.24,-0.0182200987934246,0.00382051698910745,-0.0144691920013006,-0.652919031474192,-0.591110343774459,-0.588483085570753,-0.270321048143021,-0.0267212956083838,-0.00965028043549985,1,0.423791716958835
1981-09-04,723793,121.24,120.07,-0.00965028043549985,-0.0182200987934246,-0.0276945501660054,-0.594012866012262,-0.697996807277822,-0.675141222060845,-0.673316730742879,-0.418303196118394,-0.0174065128674939,1,0.342666232484224
1981-09-08,723797,120.07,117.98,-0.0174065128674939,-0.00965028043549985,-0.0268888155724183,-0.102587635009695,-0.196138766200116,-0.324159718685149,-0.351285168080019,-0.333169920416006,0.00355992541108664,2,0.381631590834178
1981-09-09,723798,117.98,118.4,0.00355992541108664,-0.0174065128674939,-0.0139085533438826,0.162691123066277,0.010461467168789,-0.043151901227773,-0.181086892785572,-0.209736189384832,0.0146959459459459,2,0.442488494567767
1981-09-10,723799,118.4,120.14,0.0146959459459459,0.00355992541108664,0.0183081878284455,-0.711622136220765,-0.179117052325822,-0.205469965468133,-0.261115575320807,-0.313219946450511,0.0122357249875146,2,0.580735038879789
1981-09-11,723800,120.14,121.61,0.0122357249875146,0.0146959459459459,0.0271114864864864,0.563409986261224,0.0969846696511896,0.191446740939875,0.155344427035861,0.0480507836395803,-0.00781185757750187,1,0.644796616337161
1981-09-14,723803,121.61,120.66,-0.00781185757750187,0.0122357249875146,0.00432828366905274,0.590167389158634,0.673096439190848,0.398650616087019,0.417203836663256,0.38345839994573,-0.00737609812696835,1,0.597059434898934
1981-09-15,723804,120.66,119.77,-0.00737609812696835,-0.00781185757750187,-0.0151303346764247,0.000877320279331868,0.316787087565324,0.431919620443201,0.285105281127217,0.297143649114542,-0.00751440260499283,1,0.486961855374541
