prob_1d,prob_2d,prob_1w,ydate,ydatestr,cpma,n1dg1,n1dg2,n1dg3,n2dlagd,n1wlagd,n2wlagd,n1mlagd,n2mlagd,yvalue1d,yvalue2d,yvalue1w,n1dg,n2dg,n1wg,corr1d,corr2d,corr1w
0.531759292141618,0.530245501566155,0.489024849545586,727580,1992-01-17,1.07080433547165,0.00155424308361836,-0.00608408394134563,0.000784892017885986,-0.00452984085772727,0.00905805829920499,-0.0101111270091094,0.0922603525607593,0.0107005429339518,1,1,1,-0.0059685813875758,-0.0149031572353999,-0.00806952203600247,0.000771101737966088,0.0228790803064055,0.129748663194287
0.499159415393978,0.512728009364682,0.475734513316207,727583,1992-01-20,1.06377950361896,-0.0059685813875758,0.00155424308361836,-0.00608408394134563,-0.00441433830395744,0.00487522324660916,-0.00866111589625803,0.088465962564049,0.01054077616041,1,2,1,-0.00893457584782406,0.00436999956900419,-0.00329042175040831,-0.00322144072818545,0.0266332347791434,0.134267515844448
0.482875227673959,0.500902201580218,0.46720424982429,727584,1992-01-21,1.0538442816357,-0.00893457584782406,-0.0059685813875758,0.00155424308361836,-0.0149031572353999,-0.0185519931500333,0.00728318160038337,0.066143034311699,0.0183655212334895,2,2,2,0.0133045754168282,0.00572320120306694,0.00562233423807676,-0.0091002385013477,0.0307198516071957,0.142185808601929
0.567480007630188,0.543076419505915,0.51143402619821,727585,1992-01-22,1.06727484120289,0.0133045754168282,-0.00893457584782406,-0.0059685813875758,0.00436999956900419,-0.00627421156451265,0.00638603204974877,0.0537019303462527,0.0549795288988143,1,1,1,-0.00758137421376131,-0.00632824138168101,-0.0186305694401263,-0.0307815410235278,0.00922550948930136,0.126385214198337
0.467959313344419,0.471399341855459,0.460251167648405,727586,1992-01-23,1.05865568892218,-0.00758137421376131,0.0133045754168282,-0.00893457584782406,0.00572320120306694,-0.00777121541809139,0.00143674720432932,0.0391405604387349,0.0639153833857303,2,1,1,0.00125313283208029,7.3774018178279e-05,-0.0080489685752843,-0.0385976880582767,-0.00181182889255329,0.125636476872489
0.506063540611499,0.48731120360378,0.476627757747044,727587,1992-01-24,1.05935179847329,0.00125313283208029,-0.00758137421376131,0.0133045754168282,-0.00632824138168101,-0.00806952203600247,0.00905805829920499,0.0262819879458553,0.0711186368927929,1,1,1,-0.00117935881390201,-0.00125164971247796,-0.0161259266390682,-0.0504940913862879,-0.00903716378955807,0.128054591921633
0.50605967775286,0.493050882289831,0.486803775145242,727590,1992-01-27,1.05742787085208,-0.00117935881390201,0.00125313283208029,-0.00758137421376131,7.3774018178279e-05,-0.00329042175040831,0.00487522324660916,0.0209860748905182,0.079431682379498,1,1,1,-7.22908985759405e-05,-0.0112058941374423,-0.0131569435408083,-0.0526406259982358,-0.0076046818713799,0.132618844570547
0.523232288964552,0.488347994918953,0.485487354744227,727591,1992-01-28,1.05665623913799,-7.22908985759405e-05,-0.00117935881390201,0.00125313283208029,-0.00125164971247796,0.00562233423807676,-0.0185519931500333,-0.000433588668882803,0.1063909173285,1,1,1,-0.0111336032388664,-0.00801423880936885,-0.00267495662232494,-0.0621157934637103,-0.00348114346998893,0.134214760745177
0.478107943633129,0.465767862940324,0.46820385312774,727592,1992-01-29,1.04432701682697,-0.0111336032388664,-7.22908985759405e-05,-0.00117935881390201,-0.0112058941374423,-0.0186305694401263,-0.00627421156451265,-0.0161835575055743,0.0935762978500262,2,1,2,0.00311936442949756,-0.00378020313281727,0.0085295121119072,-0.0636702924830404,0.00503572136434313,0.126833743939173
0.542885108595009,0.507784704397534,0.50369097174926,727593,1992-01-30,1.04697047005062,0.00311936442949756,-0.0111336032388664,-7.22908985759405e-05,-0.00801423880936885,-0.0080489685752843,-0.00777121541809139,-0.0135167521449456,0.0952855942881143,1,1,2,-0.00689956756231483,-0.00506483983590943,0.00534473543559591,-0.0765783090035399,0.00215893750946265,0.124236111300611
