ydatestr,cp,upprob1d,upprob2d,upprob1w,nxt_prob1d,nxt_prob2d,nxt_prob1w
2014-04-08,1851.96,0.50801400579111,0.522248450018891,0.543278897595257,0.494808332424442,0.502675990511021,0.500750693397921
2014-04-09,1872.18,0.485296697794849,0.515585289570223,0.536717606832414,0.479005093664387,0.480756269343437,0.496598209568073
2014-04-10,1833.08,0.545202877216597,0.534826311157403,0.55350204570793,0.549466811899001,0.530642069139345,0.527073047907474
2014-04-11,1815.69,0.550399359456816,0.529655383538669,0.550921217906375,0.54199637470617,0.554337752245128,0.538388277695128
2014-04-14,1830.61,0.507712956907358,0.523778062835674,0.52074401230735,0.50134278325611,0.516310896624668,0.503573137191585
2014-04-15,1842.98,0.508856168888277,0.526480869276576,0.506566325673431,0.513194558664144,0.497428440181202,0.493427019570172
2014-04-16,1862.31,0.507091653456227,0.520600966962856,0.504386233943151,0.509843871477974,0.491129914184944,0.488022273710501
2014-04-17,1864.85,0.514539097182735,0.510416342923631,0.470102621418585,0.526143377888742,0.485639658779118,0.479094934010663
2014-04-21,1871.89,0.504504722880241,0.493853309252871,0.460715605973797,0.513512571542662,0.479621898734354,0.477868790915791
2014-04-22,1879.55,0.493253278798891,0.492703143304612,0.478694378605519,0.497925773574225,0.477500653131782,0.484423833305592
2014-04-23,1875.39,0.507056047254256,0.500926491542079,0.490778610768066,0.512072434483735,0.48640320315865,0.490788872190859
2014-04-24,1878.61,0.510440513244263,0.506280148964963,0.498200804289568,0.509119743540212,0.498062640685087,0.490792285032548
2014-04-25,1863.4,0.514077284687863,0.509699867897051,0.527555207756943,0.5114869687662,0.504202333593366,0.510983586504388
2014-04-28,1869.43,0.495864475001172,0.502865901487542,0.542421638218843,0.487453111753737,0.495123592663747,0.516032661374646
2014-04-29,1878.33,0.486893099542083,0.506660115221836,0.534934060772255,0.482819129248621,0.480359631174995,0.502818956701765
2014-04-30,1883.95,0.497498947035601,0.507978524484864,0.524666154718461,0.499125461532948,0.483831021985242,0.507213371545542
2014-05-01,1883.68,0.509300065903034,0.512857151741624,0.520766772904201,0.511581781386166,0.492391463326872,0.50641475620318
2014-05-02,1881.14,0.512143423800041,0.509436746970357,0.508956190355648,0.514875214473812,0.495793389856073,0.503789607634994
2014-05-05,1884.66,0.508598704872261,0.508672325265088,0.506429266467751,0.50741648600544,0.501168029997609,0.500466827102268
2014-05-06,1867.72,0.530936066382269,0.52096942187123,0.518091766954815,0.529683394673633,0.524454613272928,0.510244109048877
2014-05-07,1878.21,0.50983197664303,0.512371054737135,0.521283413788051,0.502540559553815,0.510761348857305,0.502509475638321
2014-05-08,1875.63,0.511900313283993,0.520180833111412,0.520854046142319,0.51215949252196,0.503001885999041,0.500067834397809
2014-05-09,1878.48,0.508913678108635,0.507373283458443,0.514307877545708,0.504428187472095,0.505411195966423,0.497689130348734
2014-05-12,1896.65,0.489595348529758,0.499114222140823,0.499275142347663,0.483969502370672,0.496318388868221,0.484069273905433
2014-05-13,1897.45,0.503666101649225,0.500236432670905,0.480563234078712,0.508228839850948,0.498970026684089,0.486038933686372
2014-05-14,1888.53,0.52340580641549,0.508776135855734,0.499631502894386,0.524120035613057,0.515141875044237,0.500829673314081
2014-05-15,1870.85,0.531928731307915,0.51689527372909,0.514506136468734,0.528734566961445,0.519674834969019,0.505381912894077
2014-05-16,1877.86,0.510851148872181,0.512792360204425,0.517344186979985,0.50217977494905,0.507208274710183,0.499455776328979
2014-05-19,1885.08,0.503778981588245,0.518576718489315,0.523605214295324,0.49820661924751,0.493836487693968,0.493666115208522
2014-05-20,1872.83,0.521341231111498,0.52139274131515,0.537483338238271,0.518608789293762,0.499704816059961,0.506120490505022
2014-05-21,1888.03,0.50276631882711,0.510041297391215,0.519062835206906,0.495222210445929,0.4906753774628,0.492693344809296
2014-05-22,1892.49,0.497302453057951,0.505693739826945,0.496409086803222,0.49730440972843,0.473441558910104,0.476917260106283
2014-05-23,1900.53,0.501139813154974,0.500592839508066,0.493248451026655,0.500618322314808,0.481952437961369,0.480350327053928
2014-05-27,1911.91,0.498729006559767,0.502536452980216,0.487146160352905,0.498839326912476,0.483092890459098,0.478142584269348
2014-05-28,1909.78,0.5100186355021,0.502680439261822,0.479357765288266,0.514996699339946,0.488672934595538,0.482634865955138
2014-05-29,1920.03,0.499950952975378,0.500028728173111,0.495048824444862,0.500019902309554,0.487812098434707,0.48985299019775
2014-05-30,1923.57,0.494019519914838,0.499050193369902,0.503715605987809,0.495032112160959,0.483416925647975,0.494207583431805
2014-06-02,1924.97,0.501413646659482,0.500582184588778,0.506771093349831,0.50112687510279,0.490400572429302,0.49706455044999
2014-06-03,1924.24,0.502934552008137,0.504102026240384,0.513478188749434,0.500357902175513,0.490783617194525,0.493448665944246
2014-06-04,1927.88,0.492983520446577,0.495966109228996,0.509927737821133,0.487555584949294,0.484708026693996,0.487288210393527
2014-06-05,1940.46,0.486988926387351,0.497348002504186,0.50624385798491,0.48337880118695,0.480890615025501,0.48406234795621
2014-06-06,1949.44,0.489528791841839,0.497372581809201,0.501458990281195,0.489026889655753,0.486238296316063,0.491574835339277
2014-06-09,1951.27,0.495668800014204,0.495043041744867,0.494252393728175,0.495568605683994,0.48368424604282,0.482304747430937
2014-06-10,1950.79,0.499329610149784,0.496426027348478,0.491835665823785,0.498118594306811,0.479292692604911,0.474879731151295
2014-06-11,1943.89,0.505830013689945,0.501818672797869,0.503369740810329,0.502236386799224,0.486569333957275,0.481774912470253
2014-06-12,1930.11,0.520732434032552,0.513572931180375,0.520370842322737,0.513330169705326,0.507487792447295,0.49451571859183
