ydate,cp,upprob,pctg,ydatestr
735454,169.8,0.581225929716728,-0.129564193168433,2013-08-08
735455,169.31,0.61655157254096,-0.502037682357802,2013-08-09
735458,169.11,0.628939327769655,0.177399325882552,2013-08-12
735459,169.61,0.591745022267031,-0.0471670302458655,2013-08-13
735460,168.74,0.61010447082965,-0.788194855991474,2013-08-14
735461,166.38,0.673874901753139,-0.192330808991461,2013-08-15
735462,165.83,0.644426511104077,-0.114575167340063,2013-08-16
735465,164.77,0.641032539835204,0.163864781210161,2013-08-19
735466,165.58,0.591932876479878,-0.277811329870762,2013-08-20
735467,164.56,0.618245629988478,0.206611570247936,2013-08-21
735468,166.06,0.569372032604427,0.295074069613398,2013-08-22
735469,166.62,0.560311797182323,0.102028567999032,2013-08-23
735472,166,0.562619529886702,-0.987951807228907,2013-08-26
735473,163.33,0.666525214244203,-0.0428580175105747,2013-08-27
735474,163.91,0.613318461844707,-0.219632725276057,2013-08-28
735475,164.17,0.608948576946123,0.207102393860025,2013-08-29
735476,163.65,0.576722777115314,0.965475099297271,2013-08-30
735480,164.39,0.52961995768572,0.0243323803151168,2013-09-03
735481,165.75,0.560412072430486,0.060331825037704,2013-09-04
735482,165.96,0.547661247650505,0.331405157869356,2013-09-05
735483,166.04,0.552799591313905,0.246928450975666,2013-09-06
735486,167.63,0.548805103671,0.602517449143943,2013-09-09
735487,168.87,0.515798114480507,-0.136199443358807,2013-09-10
735488,169.4,0.542088241161423,-0.0354191263282186,2013-09-11
735489,168.95,0.557378944247927,0.106540396567036,2013-09-12
735490,169.33,0.556244243121299,1.08072993562864,2013-09-13
735493,170.31,0.498577318388579,0.0880746873348633,2013-09-16
735494,171.07,0.544002252495122,-0.0350733617817281,2013-09-17
735495,173.05,0.537647290744482,0.27159780410286,2013-09-18
735496,172.76,0.52550717268052,-0.248900208381557,2013-09-19
735497,170.72,0.588185573716526,-0.134723523898776,2013-09-20
735500,169.93,0.617638786719622,-0.0176543282528106,2013-09-23
735501,169.53,0.616890466388199,0.0648852710434644,2013-09-24
735502,169.04,0.606027090124643,0.165641268338855,2013-09-25
735503,169.69,0.585855370154671,-0.50091343037303,2013-09-26
735504,168.91,0.624717011695667,-0.846604700728202,2013-09-27
735507,168.01,0.650425682361428,0.0773763466460303,2013-09-30
735508,169.34,0.595743243294532,-0.584622652651476,2013-10-01
735509,169.18,0.627719440713008,-0.230523702565324,2013-10-02
735510,167.62,0.620840202384152,0.0775563775205795,2013-10-03
735511,168.89,0.594549567895707,-0.870389010598614,2013-10-04
735514,167.43,0.649156967507103,-0.0179179358537903,2013-10-07
735515,165.48,0.622502132883209,0.193376843123049,2013-10-08
735516,165.6,0.620755941445248,1.02053140096618,2013-10-09
735517,169.17,0.516734140577367,-0.1536915528758,2013-10-10
735518,170.26,0.542722335919338,-0.616703864677542,2013-10-11
735521,170.94,0.554129940582437,-0.251550251550256,2013-10-14
735522,169.7,0.572762140811396,0.601060695344732,2013-10-15
735523,172.07,0.514713417040417,-0.406811181495896,2013-10-16
735524,173.22,0.56015635000539,0.369472347304015,2013-10-17
735525,174.39,0.506531122954552,0.0344056425253755,2013-10-18
735528,174.4,0.539378215756921,0.292431192660545,2013-10-21
735529,175.41,0.50898771467873,-0.342055755088076,2013-10-22
735530,174.57,0.559160580867221,0.200492639055963,2013-10-23
735531,175.15,0.54567870190528,0.205538110191256,2013-10-24
735532,175.95,0.549414033662716,-0.0341005967604446,2013-10-25
735535,176.23,0.551275803073246,0.226976110764345,2013-10-28
735536,177.17,0.533274526389191,0.118530225207432,2013-10-29
735537,176.29,0.563325459424123,-0.0794146009416225,2013-10-30
735538,175.79,0.586744329023773,0.13083793162297,2013-10-31
735539,176.21,0.585690645797269,0.272402247318535,2013-11-01
735542,176.83,0.566348729777329,-0.390205281909193,2013-11-04
735543,176.27,0.608812725952098,0.431156748170415,2013-11-05
735544,177.17,0.555359602525442,0.186261782468822,2013-11-06
735545,174.93,0.599362486767332,-0.0342994340593393,2013-11-07
735546,177.29,0.590775821731586,-0.0958880929550384,2013-11-08
735549,177.32,0.600416481701769,-0.21430182720505,2013-11-11
735550,176.96,0.59682935160402,-0.491636528028936,2013-11-12
735551,178.38,0.620858451744849,0.0896961542773834,2013-11-13
735552,179.27,0.569585316540828,0.161767166843305,2013-11-14
735553,180.05,0.55884605402357,0.166620383226872,2013-11-15
735556,179.42,0.574575969486684,-0.050161631925078,2013-11-18
735557,179.03,0.593473244888305,0.20108361727084,2013-11-19
735558,178.47,0.595720716830206,0.280159130386059,2013-11-20
735559,179.91,0.567665371747873,0.0389083430604153,2013-11-21
735560,180.81,0.574459672367801,0.176981361650347,2013-11-22
735563,180.63,0.559838865098354,0.0498256103637288,2013-11-25
735564,180.68,0.578848868694164,0.105158290901039,2013-11-26
735565,181.12,0.578439375012307,0.110424028268545,2013-11-27
735567,181,0.579083741637278,0.0497237569060792,2013-11-29
735570,180.53,0.596602036692385,-0.326815487730573,2013-12-02
735571,179.75,0.620250089461601,-0.361613351877611,2013-12-03
735572,179.73,0.613698969678244,-0.178044845045342,2013-12-04
735573,178.94,0.607854550464046,0.966804515480043,2013-12-05
735574,180.94,0.533591089250628,0.292914778379574,2013-12-06
735577,181.4,0.568353388909869,-0.231532524807065,2013-12-09
735578,180.75,0.596166978723229,0.0387275242046989,2013-12-10
735579,178.72,0.613996205111856,-0.044762757385862,2013-12-11
735580,178.13,0.635425650209655,0.207713467692138,2013-12-12
735581,178.11,0.62590148698918,0.471618662624207,2013-12-13
